"Gennemsnitlig hastighed","v=∆s/∆t","v,∆s,∆t"
"Øjeblikkelig hastighed","v=ds/dt","v,ds,dt"
"Gennemsnitlig acceleration","a=∆v/∆t","a,∆v,∆t"
"Øjeblikkelig acceleration","a=dv/dt","a,dv,dt"
"Bevægelse med konstant acceleration","v=v0+a*t","v,v0,a,t"
"Projektilets bevægelse","x=(v0*cos(α0))*t","s,v,v0,α,t"
"Projektilets bevægelse","y=(v0*sin(α0))*t-(g*t^2)/2","s,v,v0,α,t"
"Projektilets bevægelse","vx=v0*cos(α0)","s,v,v0,α,t"
"Projektilets bevægelse","vy=(v0*sin(α0))*t-g*t","s,v,v0,α,t"
"Newtons 2. lov","F=m*a","F,m,a"
"Arbejde","W=F*s","W,F,s"
"Kinetisk energi","Ekin=(m*v^2)/2","E,m,v^2"
"Hooke’s lov for en fjeder","Fx=kx","F"
"Gennemsnitlig effekt","P=∆W/∆t","P,∆E,∆t"
"Øjeblikkelig effekt","P=dW/dt","P,dE,dt"

