Navn,Enhed,Forkortelse,Værdi
"Længde,Stedkoordinat",Meter,m,Grundenhed
Masse,Kilogram,kg,Grundenhed
Tid,Sekund,s,Grundenhed
Strømstyrke,Ampere,A,Grundenhed
Stofmængde,Mol,mol,Grundenhed
Temperatur,Kelvin,K,Grundenhed
Frekvens,Hertz,Hz,"1Hz=1s^-1"
Kraft,Newton,N,1,"N=1kg*m/s^2"
Tryk,Pascal,Pa,1,"Pa=1N/m^2"
"Arbejde,energi,varmemængde",Joule,J,"1J=1N*m"
Effekt,Watt,W,"1W=1J/s"
"Elektrisk ladning",Coulomb,C,"1C=1A*s"
"Elektrisk spænding,spændingsfald,elektromotoriskkraft",Volt,V,"1V=1J/C"
"Magnetisk fluxtæthed",Tesla,T,"1T=1N/(A*m)"
Kapacitans,Farad,F,"1F=1C/V"
Resistans,Ohm,W,"1W=1V/A"
Aktivitet,Becquerel,Bq,"1Bq=1s^-1"
"Absorberet dosis",Gray,Gy,"1Gy=1J/Kg"
Dosisækvivalent,Sievert,Sv,"1Sv=1J/Kg"
